Tanggal,Tavg,RH_avg,RR,ss
Jan,27.69,81.61,10.88,3.44
Feb,27.21,83.07,17.45,5.41
Mar,27.64,83.29,16.03,5.2
Apr,28.96,77,10.37,8.14
May,28.75,74.48,0,8.11
Jun,27.91,75.97,4.61,8.19
Jul,26.66,74.26,0,9.04
Aug,26.67,71.9,0,8.95
Sep,28.05,68.3,0.72,8
Okt,29.35,67,0,8.73
Nov,29.51,73.5,6.97,6.35
Des,29.03,77.29,16.1,3.76
Jan,27.84,82.13,16.26,4.52
Feb,28,81.93,17.35,5.77
Mar,27.68,83.7,11.45,4.87
Apr,28.37,83.6,12.79,6.09
May,28.46,77.31,1.8,8.59
Jun,27.13,76.33,0,8.25
Jul,26.49,75,0.03,8.6
Aug,26.66,72.29,0,9.4
Sep,27.3,70.9,0,9.27
Okt,28.89,68,0,9.47
Nov,30.25,67.73,0.88,8.88
Des,29.86,74.89,7.08,6.62
Jan,28.38,81.84,11.45,5.04
Feb,27.68,85.45,18.84,4.72
Mar,28.19,83.77,10.53,5.54
Apr,28.54,82.6,13.42,6.28
May,28.39,82.58,18.13,7.04
Jun,27.68,79.66,1.81,7.42
Jul,27.28,76.17,0.1,8.25
Aug,27.54,75.77,0.88,8.65
Sep,28.72,70.88,0,9.01
Okt,29.18,72.97,1.99,7.03
Nov,29.17,76.73,6.7,6.29
Des,27.26,85.06,21.84,3.27
