Jadwal,Suhu Max (C),Suhu Min (C),Suhu Rata Rata (C),Kelembaban Max (RH),Kelembaban Min (RH),Kelembaban Rata Rata (RH),Curah Hujan Rata Rata (mm),Lama Penyinaran Rata Rata (Jam),Luas lahan (Ha),Total Produksi Beras (Ton),Total Konsumsi Beras (Juta Ton),Saran Distribusi Panen,Catatan:
Januari 2018,28.9,26.4,27.69,89,75,81.61,10.88,3.44,1385,5209.48,10534.44519,,
Februari,28.6,25.9,27.21,88,77,83.07,17.45,5.41,23129,86975.4,9294.390503,,
Maret,29.8,26.2,27.64,91,76,83.29,16.03,5.2,30824,115862.16,10534.44519,,
April,30,26.7,28.96,85,71,77,10.37,8.14,8184,30774.59,10233.46105,,
Mei,30.7,27.4,28.75,78,68,74.48,0,8.11,13213,43242.82,10365.89407,,
Juni,29,26.8,27.91,83,70,75.97,4.61,8.19,18685,61068.1,10233.46105,,
Juli,29.1,25,26.66,80,67,74.26,0,9.04,8652,28292.76,10534.44519,,
Agustus,27.9,25.1,26.67,77,66,71.9,0,8.95,16081,52681.05,10534.44519,,
September,29.2,26.8,28.05,83,58,68.3,0.72,8,20726,76667.7,10233.46105,,
Oktober,31.2,26.8,29.35,75,62,67,0,8.73,2254,8336.23,10534.44519,,
November,33.2,27.3,29.51,88,57,73.5,6.97,6.35,690,2551.31,10233.46105,,
Desember,32.9,27.1,29.03,87,56,77.29,16.1,3.76,836,3091.78,10534.44519,,
Januari 2019,29.5,25.6,27.84,90,74,82.13,16.26,4.52,3073,10558.09,10783.19703,,
Februari,29.7,26.4,28,89,76,81.93,17.35,5.77,9075,31180.56,9585.064029,,
Maret,29,25.6,27.68,90,78,83.7,11.45,4.87,29694,101956.71,10783.19703,,
April,29.8,26.5,28.37,92,76,83.6,12.79,6.09,21653,74319.36,10483.66378,,
Mei,29.2,27.6,28.46,84,70,77.31,1.8,8.59,5360,17322.18,10483.66378,,
Juni,28.8,25.1,27.13,80,72,76.33,0,8.25,21491,69561.05,10483.66378,,
Juli,28.1,25,26.49,85,70,75,0.03,8.6,12940,41828.82,10783.19703,,
Agustus,28.7,25.3,26.66,78,63,72.29,0,9.4,16634,53880.42,10783.19703,,
September,29.2,25.9,27.3,76,58,70.9,0,9.27,14583,58044.09,10483.66378,,
Oktober,29.8,27.5,28.89,72,64,68,0,9.47,4199,16713.73,10783.19703,,
November,31.7,27.6,30.25,80,59,67.73,0.88,8.88,1350,5373.29,10483.66378,,
Desember,31.5,27.9,29.86,86,64,74.89,7.08,6.62,411,1637.76,10783.19703,,
Januari 2020,29.8,27.1,28.38,89,75,81.84,11.45,5.04,333,1194.46,11899.4496,,
Februari,28.8,25.9,27.68,92,77,85.45,18.84,4.72,2676,9610.85,11238.36907,,
Maret,29.9,26.4,28.19,93,77,83.77,10.53,5.54,26873,96343.8,11899.4496,,
April,30.7,26.8,28.54,90,74,82.6,13.42,6.28,28882,103583.39,11568.90933,,
Mei,29.5,25.1,28.39,94,71,82.58,18.13,7.04,8313,25728.34,11899.4496,,
Juni,28.9,26.6,27.68,86,72,79.66,1.81,7.42,12092,37383.78,11568.90933,,
Juli,29.6,25.5,27.28,82,67,76.17,0.1,8.25,16057,49665.76,11899.4496,,
Agustus,29.1,26,27.54,84,66,75.77,0.88,8.65,28751,89056.54,11899.4496,,
September,29.8,28,28.72,76,64,70.88,0,9.01,14188,56447.88,11568.90933,,
Oktober,30.6,26.6,29.18,90,61,72.97,1.99,7.03,7185,28600.74,11899.4496,,
November,31,26.8,29.17,90,66,76.73,6.7,6.29,722,2874.25,11568.90933,,
Desember,29.7,25,27.26,96,72,85.06,21.84,3.27,357,1422.82,11899.4496,,
