Lamongan,Banyuwangi,Tuban,Kota,Jadwal,Suhu Bulan -3 (C),Suhu Bulan -2 (C),Suhu Bulan -1 (C),Suhu Bulan Saat Itu (C),Kelembaban Bulan -3 (RH),Kelembaban Bulan -2 (RH),Kelembaban Bulan -1 (RH),Kelembaban Bulan Saat Itu (RH),Curah Hujan Bulan -3 (mm),Curah Hujan Bulan -2 (mm),Curah Hujan Bulan -1 (mm),Curah Hujan Bulan Saat Itu (mm),Lama Penyinaran Saat Itu (Jam),Luas lahan Saat Itu (Ha),Total Produksi Beras Saat Itu (Ton),Total Konsumsi Beras Saat Itu (Juta Ton),Saran Distribusi Panen Saat Itu,Catatan:
1,0,0,Lamongan,Januari 2018,,,,27.69,,,,81.61,,,,10.88,3.44,1385,5209.48,10534.44519,,
1,0,0,Lamongan,Februari,,,27.69,27.21,,,81.61,83.07,,,10.88,17.45,5.41,23129,86975.4,9294.390503,,
1,0,0,Lamongan,Maret,,27.69,27.21,27.64,,81.61,83.07,83.29,,10.88,17.45,16.03,5.2,30824,115862.16,10534.44519,,
1,0,0,Lamongan,April,27.69,27.21,27.64,28.96,81.61,83.07,83.29,77,10.88,17.45,16.03,10.37,8.14,8184,30774.59,10233.46105,,
1,0,0,Lamongan,Mei,27.21,27.64,28.96,28.75,83.07,83.29,77,74.48,17.45,16.03,10.37,0,8.11,13213,43242.82,10365.89407,,
1,0,0,Lamongan,Juni,27.64,28.96,28.75,27.91,83.29,77,74.48,75.97,16.03,10.37,0,4.61,8.19,18685,61068.1,10233.46105,,
1,0,0,Lamongan,Juli,28.96,28.75,27.91,26.66,77,74.48,75.97,74.26,10.37,0,4.61,0,9.04,8652,28292.76,10534.44519,,
1,0,0,Lamongan,Agustus,28.75,27.91,26.66,26.67,74.48,75.97,74.26,71.9,0,4.61,0,0,8.95,16081,52681.05,10534.44519,,
1,0,0,Lamongan,September,27.91,26.66,26.67,28.05,75.97,74.26,71.9,68.3,4.61,0,0,0.72,8,20726,76667.7,10233.46105,,
1,0,0,Lamongan,Oktober,26.66,26.67,28.05,29.35,74.26,71.9,68.3,67,0,0,0.72,0,8.73,2254,8336.23,10534.44519,,
1,0,0,Lamongan,November,26.67,28.05,29.35,29.51,71.9,68.3,67,73.5,0,0.72,0,6.97,6.35,690,2551.31,10233.46105,,
1,0,0,Lamongan,Desember,28.05,29.35,29.51,29.03,68.3,67,73.5,77.29,0.72,0,6.97,16.1,3.76,836,3091.78,10534.44519,,
0,1,0,Banyuwangi,Januari 2018,,,,27.61,,,,81.12,,,,22.05,3.19,4411,15928.9,14262.65348,,
0,1,0,Banyuwangi,Februari,,,27.61,27.63,,,81.12,79.7,,,22.05,15.34,5.6,2702,9757.82,12583.73541,,
0,1,0,Banyuwangi,Maret,,27.61,27.63,28.31,,81.12,79.7,74.28,,22.05,15.34,13.84,6.45,12480,45069.81,14262.65348,,
0,1,0,Banyuwangi,April,27.61,27.63,28.31,29.6,81.12,79.7,74.28,71.2,22.05,15.34,13.84,6.25,8.7,12586,45451.84,13855.1491,,
0,1,0,Banyuwangi,Mei,27.63,28.31,29.6,28.1,79.7,74.28,71.2,76.22,15.34,13.84,6.25,0.98,7.58,7371,26473.66,14034.45102,,
0,1,0,Banyuwangi,Juni,28.31,29.6,28.1,27.11,74.28,71.2,76.22,78.32,13.84,6.25,0.98,3.01,6.77,3082,11069.01,13855.1491,,
0,1,0,Banyuwangi,Juli,29.6,28.1,27.11,26.32,71.2,76.22,78.32,77.35,6.25,0.98,3.01,4.51,6.99,6215,22321.44,14262.65348,,
0,1,0,Banyuwangi,Agustus,28.1,27.11,26.32,25.67,76.22,78.32,77.35,79.35,0.98,3.01,4.51,4.31,6.12,8951,32151.33,14262.65348,,
0,1,0,Banyuwangi,September,27.11,26.32,25.67,27.14,78.32,77.35,79.35,72.46,3.01,4.51,4.31,1.63,8.49,8526,28035.94,13855.1491,,
0,1,0,Banyuwangi,Oktober,26.32,25.67,27.14,28.78,77.35,79.35,72.46,70.03,4.51,4.31,1.63,0.14,9.73,6530,21473.32,14262.65348,,
0,1,0,Banyuwangi,November,25.67,27.14,28.78,29.21,79.35,72.46,70.03,75.37,4.31,1.63,0.14,18.4,7.78,5236,17215.7,13855.1491,,
0,1,0,Banyuwangi,Desember,27.14,28.78,29.21,29.15,72.46,70.03,75.37,75.23,1.63,0.14,18.4,4.65,4.49,6271,20620.07,14262.65348,,
0,0,1,Tuban,Januari 2018,,,,27.1,,,,85,,,,6.01,2.91,2859,8919.26,10351.5985,,
0,0,1,Tuban,Februari,,,27.1,26.5,,,85,87.5,,,6.01,12.3,3.86,5658,17647.85,9133.067477,,
0,0,1,Tuban,Maret,,27.1,26.5,27.2,,85,87.5,85.53,,6.01,12.3,7.95,5.75,28266,88166.98,10351.5985,,
0,0,1,Tuban,April,27.1,26.5,27.2,28.29,85,87.5,85.53,80.6,6.01,12.3,7.95,3.21,7.97,17112,53368.58,10055.83854,,
0,0,1,Tuban,Mei,26.5,27.2,28.29,28.31,87.5,85.53,80.6,75.13,12.3,7.95,3.21,0.68,7.81,1764,5963.89,10185.97292,,
0,0,1,Tuban,Juni,27.2,28.29,28.31,27.77,85.53,80.6,75.13,73.37,7.95,3.21,0.68,0.35,7.64,6662,22567.4,10055.83854,,
0,0,1,Tuban,Juli,28.29,28.31,27.77,27.1,80.6,75.13,73.37,69.35,3.21,0.68,0.35,0.51,8.76,7703,26090.58,10351.5985,,
0,0,1,Tuban,Agustus,28.31,27.77,27.1,27.18,75.13,73.37,69.35,66.03,0.68,0.35,0.51,0,8.93,3921,13280.79,10351.5985,,
0,0,1,Tuban,September,27.77,27.1,27.18,28.23,73.37,69.35,66.03,65.7,0.35,0.51,0,0.06,7.99,7612,30596.29,10055.83854,,
0,0,1,Tuban,Oktober,27.1,27.18,28.23,29.14,69.35,66.03,65.7,66.68,0.51,0,0.06,0.55,7.95,9659,38858.77,10351.5985,,
0,0,1,Tuban,November,27.18,28.23,29.14,29.17,66.03,65.7,66.68,72.6,0,0.06,0.55,4.77,6.99,2660,10700.88,10055.83854,,
0,0,1,Tuban,Desember,28.23,29.14,29.17,28.05,65.7,66.68,72.6,79.97,0.06,0.55,4.77,8.06,4.36,1980,7964.59,10351.5985,,
1,0,0,Lamongan,Januari 2019,29.35,29.51,29.03,27.84,67,73.5,77.29,82.13,0,6.97,16.1,16.26,4.52,3073,10558.09,10783.19703,,
1,0,0,Lamongan,Februari,29.51,29.03,27.84,28,73.5,77.29,82.13,81.93,6.97,16.1,16.26,17.35,5.77,9075,31180.56,9585.064029,,
1,0,0,Lamongan,Maret,29.03,27.84,28,27.68,77.29,82.13,81.93,83.7,16.1,16.26,17.35,11.45,4.87,29694,101956.71,10783.19703,,
1,0,0,Lamongan,April,27.84,28,27.68,28.37,82.13,81.93,83.7,83.6,16.26,17.35,11.45,12.79,6.09,21653,74319.36,10483.66378,,
1,0,0,Lamongan,Mei,28,27.68,28.37,28.46,81.93,83.7,83.6,77.31,17.35,11.45,12.79,1.8,8.59,5360,17322.18,10483.66378,,
1,0,0,Lamongan,Juni,27.68,28.37,28.46,27.13,83.7,83.6,77.31,76.33,11.45,12.79,1.8,0,8.25,21491,69561.05,10483.66378,,
1,0,0,Lamongan,Juli,28.37,28.46,27.13,26.49,83.6,77.31,76.33,75,12.79,1.8,0,0.03,8.6,12940,41828.82,10783.19703,,
1,0,0,Lamongan,Agustus,28.46,27.13,26.49,26.66,77.31,76.33,75,72.29,1.8,0,0.03,0,9.4,16634,53880.42,10783.19703,,
1,0,0,Lamongan,September,27.13,26.49,26.66,27.3,76.33,75,72.29,70.9,0,0.03,0,0,9.27,14583,58044.09,10483.66378,,
1,0,0,Lamongan,Oktober,26.49,26.66,27.3,28.89,75,72.29,70.9,68,0.03,0,0,0,9.47,4199,16713.73,10783.19703,,
1,0,0,Lamongan,November,26.66,27.3,28.89,30.25,72.29,70.9,68,67.73,0,0,0,0.88,8.88,1350,5373.29,10483.66378,,
1,0,0,Lamongan,Desember,27.3,28.89,30.25,29.86,70.9,68,67.73,74.89,0,0,0.88,7.08,6.62,411,1637.76,10783.19703,,
